Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Year
Abhishek Sharma,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2018
AD Nath,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2018
MA Agarwal,11.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2018
KK Ahmed,1.0,1.0,3.0,0.0,38.0,0.0,0,0,12.66,0,0.0,0.0,0.0,0.0,2018
MM Ali,5.0,5.0,13.1,0.0,97.0,3.0,1/13,32.33,7.36,26.3,0.0,0.0,2.0,0.0,2018
CJ Anderson,3.0,3.0,8.4,0.0,115.0,3.0,2/47,38.33,13.26,17.3,0.0,0.0,0.0,0.0,2018
Ankit Sharma,1.0,1.0,1.0,0.0,11.0,0.0,0,0,11.0,0,0.0,0.0,0.0,0.0,2018
Anureet Singh,3.0,3.0,4.0,0.0,42.0,1.0,1/20,42.0,10.5,24.0,0.0,0.0,1.0,0.0,2018
JC Archer,10.0,10.0,38.5,0.0,325.0,15.0,3/22,21.66,8.36,15.5,0.0,0.0,1.0,0.0,2018
M Ashwin,2.0,2.0,7.0,0.0,53.0,3.0,2/36,17.66,7.57,14.0,0.0,0.0,0.0,0.0,2018
R Ashwin,14.0,14.0,50.4,0.0,410.0,10.0,2/18,41.0,8.09,30.4,0.0,0.0,5.0,0.0,2018
KM Asif,2.0,2.0,6.0,0.0,75.0,3.0,2/43,25.0,12.5,12.0,0.0,0.0,0.0,0.0,2018
Avesh Khan,6.0,6.0,19.0,0.0,204.0,4.0,2/29,51.0,10.73,28.5,0.0,0.0,3.0,0.0,2018
Basil Thampi,4.0,4.0,10.1,0.0,114.0,5.0,2/4,22.8,11.21,12.2,0.0,0.0,2.0,0.0,2018
RK Bhui,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2018
SW Billings,10.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2018
STR Binny,7.0,1.0,2.0,0.0,33.0,0.0,0,0,16.5,0,0.0,0.0,1.0,0.0,2018
TA Boult,14.0,14.0,52.4,1.0,466.0,18.0,2/20,25.88,8.84,17.5,0.0,0.0,9.0,0.0,2018
CR Brathwaite,4.0,4.0,10.1,0.0,94.0,5.0,2/15,18.8,9.24,12.2,0.0,0.0,2.0,0.0,2018
DJ Bravo,16.0,16.0,53.3,1.0,533.0,14.0,2/16,38.07,9.96,22.9,0.0,0.0,9.0,0.0,2018
JJ Bumrah,14.0,14.0,54.0,0.0,372.0,17.0,3/15,21.88,6.88,19.0,0.0,0.0,4.0,0.0,2018
JC Buttler,13.0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,2018
YS Chahal,14.0,14.0,50.0,1.0,363.0,12.0,2/22,30.25,7.26,25.0,0.0,0.0,2.0,0.0,2018
DL Chahar,12.0,12.0,38.1,1.0,278.0,10.0,3/15,27.8,7.28,22.9,0.0,0.0,1.0,0.0,2018
PP Chawla,15.0,15.0,49.0,0.0,412.0,14.0,3/48,29.42,8.4,21.0,0.0,0.0,4.0,0.0,2018
P Chopra,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2018
DT Christian,4.0,4.0,11.5,0.0,101.0,4.0,2/35,25.25,8.53,17.7,0.0,0.0,0.0,0.0,2018
TK Curran,5.0,5.0,10.1,0.0,118.0,6.0,2/19,19.66,11.6,10.1,0.0,0.0,1.0,0.0,2018
BCJ Cutting,9.0,7.0,17.0,0.0,168.0,2.0,1/12,84.0,9.88,51.0,0.0,0.0,7.0,0.0,2018
CJ Dala,1.0,1.0,3.0,0.0,34.0,0.0,0,0,11.33,0,0.0,0.0,0.0,0.0,2018
A Dananjaya,1.0,1.0,4.0,0.0,47.0,0.0,0,0,11.75,0,0.0,0.0,0.0,0.0,2018
C de Grandhomme,9.0,7.0,15.0,0.0,129.0,2.0,1/8,64.5,8.6,45.0,0.0,0.0,3.0,0.0,2018
Q de Kock,8.0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2018
AB de Villiers,12.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2018
S Dhawan,16.0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,2018
MS Dhoni,16.0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,2018
JP Duminy,6.0,2.0,3.0,0.0,36.0,0.0,0,0,12.0,0,0.0,0.0,2.0,0.0,2018
F du Plessis,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2018
AJ Finch,10.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2018
G Gambhir,6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2018
CH Gayle,11.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2018
S Gopal,11.0,10.0,31.0,0.0,236.0,11.0,4/16,21.45,7.61,16.9,1.0,0.0,3.0,0.0,2018
SP Goswami,6.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2018
K Gowtham,15.0,15.0,40.0,0.0,312.0,11.0,2/12,28.36,7.8,21.8,0.0,0.0,10.0,0.0,2018
AD Hales,6.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2018
Harbhajan Singh,13.0,12.0,31.5,0.0,270.0,7.0,2/22,38.57,8.48,27.2,0.0,0.0,4.0,0.0,2018
DJ Hooda,9.0,2.0,3.0,0.0,24.0,0.0,0,0,8.0,0,0.0,0.0,3.0,0.0,2018
Imran Tahir,6.0,6.0,20.4,0.0,188.0,6.0,2/34,31.33,9.09,20.6,0.0,0.0,2.0,0.0,2018
Ishan Kishan,14.0,0,0,0,0,0,0,0,0,0,0,0,9.0,2.0,2018
SS Iyer,14.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2018
RA Jadeja,16.0,14.0,41.0,0.0,303.0,11.0,3/18,27.54,7.39,22.3,0.0,0.0,11.0,0.0,2018
KM Jadhav,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2018
MG Johnson,6.0,6.0,21.0,0.0,216.0,2.0,1/30,108.0,10.28,63.0,0.0,0.0,2.0,0.0,2018
CJ Jordan,1.0,1.0,4.0,0.0,31.0,0.0,0,0,7.75,0,0.0,0.0,0.0,0.0,2018
KD Karthik,16.0,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,2018
S Kaul,17.0,17.0,66.0,0.0,547.0,21.0,3/23,26.04,8.28,18.8,0.0,0.0,2.0,0.0,2018
SN Khan,7.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2018
K Khejroliya,3.0,3.0,10.5,0.0,107.0,2.0,2/33,53.5,9.87,32.5,0.0,0.0,0.0,0.0,2018
H Klaasen,4.0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,2018
V Kohli,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2018
