Player_Name,avg(Innings Batting Strike Rate),avg(Innings Economy Rate),Player_Id,DOB,Batting_Hand,Bowling_Skill,Country
Kuldeep Yadav,242.10499954223633,7.207500004768372,462,12/14/1994,Left_Hand,Slow left-arm chinaman,India
TM Dilshan,97.41256441214146,7.443999996185303,135,10/14/1976,Right_Hand,Right-arm offbreak,Sri Lanka
RMS Eranga,85.70999908447266,8.136666615804037,null,null,null,null,null
Mohammad Mithun,75.17727314342152,null,null,null,null,null,null
ST Finn,65.55333455403645,7.333333333333333,null,null,null,null,null
MS Crane,null,7.75,null,null,null,null,null
J Botha,128.96749954223634,6.695384594110342,192,5/2/1982,Right_Hand,Right-arm offbreak,South Africa
J Charles,100.87727335727575,null,null,null,null,null,null
KA Pollard,126.55340979316018,8.997762226558232,221,5/12/1987,Right_Hand,Right-arm medium-fast,West Indies
M Muralitharan,12.5,6.325833320617676,121,4/17/1972,Right_Hand,Right-arm offbreak,Sri Lanka
KO Meth,100,9.25,null,null,null,null,null
MA Ouma,71.38473791825145,null,null,null,null,null,null
T Lungameni,100,6.206666628519694,null,null,null,null,null
AR White,102.11000061035156,4.5,null,null,null,null,null
JN Malan,69.88999938964844,null,null,null,null,null,null
SS Cottrell,60.882857186453684,8.01379746425001,null,null,null,null,null
T Panyangara,88.56800231933593,7.834999970027378,null,null,null,null,null
RJ Kirtley,50,17,null,null,null,null,null
CA Ingram,99.50888994004991,null,292,7/3/1985,Left_Hand,Legbreak,South Africa
GL Cloete,87.49500274658203,null,null,null,null,null,null
ML Udawatte,85.67625141143799,null,null,null,null,null,null
Sohrawordi Shuvo,33.33000183105469,12,null,null,null,null,null
AA Obanda,79.06535809380668,null,null,null,null,null,null
PKD Chase,64.58250045776367,10.258333365122477,null,null,null,null,null
GP Swann,87.2086675008138,6.57657894335295,null,null,null,null,null
JM Muirhead,71.42499923706055,7.65,null,null,null,null,null
DR Smith,117.50874972343445,9.850909081372349,147,4/12/1983,Right_Hand,Right-arm medium,West Indies
KM Jarvis,48.59700012207031,9.068636374040084,null,null,null,null,null
TE Kane,162.086669921875,9.1,null,null,null,null,null
A Flintoff,112.77142769949776,6.27285715511867,155,12/6/1977,Right_Hand,Right-arm fast-medium,England
RJ Sidebottom,125,7.595000002119276,null,null,null,null,null
CJ Boyce,75,8.045714242117745,null,null,null,null,null
