sold_to,player,role,final_price,sold_or_not,base_price
RR, Ben Stokes , Bowling Allrounder • England ,12.50  Crore,SOLD,2.00  Crore
RR, Jaydev Unadkat , Bowler • India ,11.50  Crore,SOLD,1.50  Crore
SRH, Manish Pandey , Batsman • India ,11.00  Crore,SOLD,1.00  Crore
KXIP, Lokesh Rahul , WK-Batsman • India ,11.00  Crore,SOLD,2.00  Crore
KKR, Chris Lynn , Batsman • Australia ,9.60  Crore,SOLD,2.00  Crore
KKR, Mitchell Starc , Bowler • Australia ,9.40  Crore,SOLD,2.00  Crore
DD, Glenn Maxwell , Batting Allrounder • Australia ,9.00  Crore,SOLD,2.00  Crore
SRH, Rashid Khan , Bowler • Afghanistan ,9.00  Crore,,2.00  Crore
MI, Krunal Pandya , Batting Allrounder • India ,8.80  Crore,,40.00  Lakh
RR, Sanju Samson , WK-Batsman • India ,8.00  Crore,SOLD,1.00  Crore
CSK, Kedar Jadhav , Batsman • India ,7.80  Crore,SOLD,2.00  Crore
KXIP, Ravichandran Ashwin , Bowler • India ,7.60  Crore,SOLD,2.00  Crore
RCB, Chris Woakes , Bowling Allrounder • England ,7.40  Crore,SOLD,2.00  Crore
KKR, Dinesh Karthik , WK-Batsman • India ,7.40  Crore,SOLD,2.00  Crore
RR, Jofra Archer , Bowler Allrounder • Windies ,7.20  Crore,SOLD,40.00  Lakh
KXIP, Andrew Tye , Bowler • Australia ,7.20  Crore,SOLD,1.00  Crore
CSK, Dwayne Bravo , Batting Allrounder • Windies ,6.40  Crore,,2.00  Crore
KKR, Robin Uthappa , WK-Batsman • India ,6.40  Crore,,2.00  Crore
KXIP, Aaron Finch , Batsman • Australia ,6.20  Crore,SOLD,1.50  Crore
KXIP, Marcus Stoinis , Batting Allrounder • Australia ,6.20  Crore,,2.00  Crore
MI, Ishan Kishan , WK-Batsman • India ,6.20  Crore,SOLD,40.00  Lakh
RR, Krishnappa Gowtham , Bowler • India ,6.20  Crore,SOLD,20.00  Lakh
RCB, Yuzvendra Chahal , Bowler • India ,6.00  Crore,,2.00  Crore
KKR, Kuldeep Yadav , Bowler • India ,5.80  Crore,,1.50  Crore
KXIP, Karun Nair , Batsman • India ,5.60  Crore,SOLD,50.00  Lakh
