Name,Country_of_origin,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Abhinav Mukund,India,CSK,CSK,CSK,CSK,CSK,RCB,X,X,X,X,X,X
Albie Morkel, South Africa,CSK,CSK,CSK,CSK,CSK,CSK,RCB,DD,RPS,X,X,X
Anirudha Srikkanth, India,CSK,X,CSK,CSK,CSK,CSK,SRH,X,X,X,X,X
Chamara Kapugedera, Sri Lanka,CSK,X,X,X,X,X,X,X,X,X,X,X
Jacob Oram, New Zealand,CSK,CSK,CSK,RR,RR,MI,X,X,X,X,X,X
Joginder Sharma, India,CSK,CSK,CSK,CSK,CSK,X,X,X,X,X,X,X
KB Arun Karthik, India,CSK,CSK,CSK,RCB,RCB,RCB,X,X,X,X,X,X
Lakshmipathy Balaji, India,CSK,CSK,CSK,KKR,KKR,KKR,KXIP,X,X,X,X,X
Mahendra Singh Dhoni, India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,RPS,RPS,CSK,CSK
Makhaya Ntini, South Africa,CSK,CSK,CSK,X,X,X,X,X,X,X,X,X
Manpreet Gony, India,CSK,CSK,CSK,DC,DC,KXIP,X,X,X,GL,X,X
Matthew Hayden, Australia,CSK,CSK,CSK,X,X,X,X,X,X,X,X,X
Mike Hussey, Australia,CSK,CSK,CSK,CSK,CSK,CSK,MI,CSK,X,X,X,X
Muttiah Muralitharan, Sri Lanka,CSK,CSK,CSK,KTK,RCB,RCB,RCB,X,X,X,X,X
Napoleon Einstein, India,CSK,CSK,X,X,X,X,X,X,X,X,X,X
Palani Amarnath, India,CSK,CSK,X,X,X,X,X,X,X,X,X,X
Parthiv Patel, India,CSK,CSK,CSK,KTK,DC,SRH,RCB,MI,MI,MI,RCB,RCB
Ravichandran Ashwin, India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,RPS,RPS,KXIP,KXIP
Selvam Suresh Kumar, India,CSK,CSK,X,X,X,X,X,X,X,X,X,X
Shadab Jakati, India,CSK,CSK,CSK,CSK,CSK,CSK,RCB,X,GL,GL,X,X
Stephen Fleming, New Zealand,CSK,X,X,X,X,X,X,X,X,X,X,X
Subramaniam Badrinath, India,CSK,CSK,CSK,CSK,CSK,CSK,X,RCB,X,X,X,X
Sudeep Tyagi, India,CSK,CSK,CSK,CSK,CSK,SRH,X,X,X,X,X,X
Suresh Raina, India,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,GL,GL,CSK,CSK
Vidyut Sivaramakrishnan, India,CSK,CSK,CSK,X,X,X,X,X,X,X,X,X
Viraj Kadbe, India,CSK,CSK,X,X,X,X,X,X,X,X,X,X
Adam Gilchrist, Australia,DC,DC,DC,KXIP,KXIP,KXIP,X,X,X,X,X,X
Andrew Symonds, Australia,DC,DC,DC,MI,X,X,X,X,X,X,X,X
Arjun Yadav, India,DC,DC,DC,DC,DC,X,X,X,X,X,X,X
Chamara Silva, Sri Lanka,DC,DC,X,X,X,X,X,X,X,X,X,X
Chaminda Vaas, Sri Lanka,DC,DC,DC,X,X,X,X,X,X,X,X,X
Doddapaneni Kalyankrishna, India,DC,DC,X,X,X,X,X,X,X,X,X,X
Dwaraka Ravi Teja, India,DC,DC,DC,DC,DC,SRH,X,X,X,X,X,X
Halhadar Das, India,DC,DC,X,X,X,X,X,X,X,X,X,X
Herschelle Gibbs, South Africa,DC,DC,DC,X,MI,X,X,X,X,X,X,X
Mohnish Mishra, India,DC,X,DC,PWI,PWI,PWI,X,X,X,X,X,X
Nuwan Zoysa, Sri Lanka,DC,DC,X,X,X,X,X,X,X,X,X,X
Paidikalva Vijaykumar, India,DC,DC,X,X,X,X,X,X,X,X,X,X
PM Sarvesh Kumar, India,DC,DC,X,X,X,X,X,X,X,X,X,X
Pragyan Ojha, India,DC,DC,DC,DC,MI,MI,MI,MI,X,X,X,X
R. P. Singh, India,DC,DC,DC,KTK,MI,RCB,X,X,RPS,X,X,X
Rohit Sharma, India,DC,DC,DC,MI,MI,MI,MI,MI,MI,MI,MI,MI
Sanjay Bangar, India,DC,KKR,KKR,X,X,X,X,X,X,X,X,X
Shahid Afridi, Pakistan,DC,X,X,X,X,X,X,X,X,X,X,X
Scott Styris, New Zealand,DC,DC,DC,CSK,CSK,X,X,X,X,X,X,X
V.V.S. Laxman, India,DC,DC,DC,KTK,X,X,X,X,X,X,X,X
Yalaka Venugopal Rao, India,DC,DC,DC,DD,DD,DD,SRH,X,X,X,X,X
AB de Villiers, South Africa,DD,DD,DD,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB
Amit Mishra, India,DD,DD,DD,DC,DC,SRH,SRH,DD,DD,DD,DD,DD
Brett Geeves, Australia,DD,X,X,X,X,X,X,X,X,X,X,X
Daniel Vettori, New Zealand,DD,DD,DD,RCB,RCB,RCB,X,X,X,X,X,X
Dinesh Karthik, India,DD,DD,DD,KXIP,MI,MI,DD,RCB,GL,GL,KKR,KKR
Farveez Maharoof, Sri Lanka,DD,DD,DD,X,X,X,X,X,X,X,X,X
Gautam Gambhir, India,DD,DD,DD,KKR,KKR,KKR,KKR,KKR,KKR,KKR,DD,X
Glenn McGrath, Australia,DD,DD,X,X,X,X,X,X,X,X,X,X
Manoj Tiwary, India,DD,DD,KKR,KKR,KKR,KKR,DD,DD,X,RPS,KXIP,X
Mayank Tehlan, India,DD,X,X,X,X,X,X,X,X,X,X,X
Mithun Manhas, India,DD,DD,DD,PWI,PWI,PWI,CSK,CSK,X,X,X,X
Mohammad Asif, Pakistan,DD,X,X,X,X,X,X,X,X,X,X,X
Pradeep Sangwan, India,DD,DD,DD,KKR,KKR,KKR,X,X,GL,GL,MI,X
Rajat Bhatia, India,DD,DD,DD,KKR,KKR,KKR,RR,RR,RPS,RPS,X,X
Shikhar Dhawan, India,DD,MI,MI,DC,DC,SRH,SRH,SRH,SRH,SRH,SRH,DD
Shoaib Malik, Pakistan,DD,X,X,X,X,X,X,X,X,X,X,X
Sumit Narwal, India,DD,DD,DD,RR,RR,KKR,X,KKR,X,X,X,X
Tejashwi Yadav, India,DD,DD,X,DD,DD,X,X,X,X,X,X,X
Tillakaratne Dilshan, Sri Lanka,DD,DD,DD,RCB,RCB,RCB,X,X,X,X,X,X
Virender Sehwag, India,DD,DD,DD,DD,DD,DD,KXIP,KXIP,X,X,X,X
Yogesh Nagar, India,DD,DD,DD,DD,DD,DD,X,X,X,X,X,X
Yo Mahesh, India,DD,DD,DD,CSK,CSK,X,X,X,X,X,X,X
Aakash Chopra, India,KKR,KKR,X,RR,RR,X,X,X,X,X,X,X
Ajantha Mendis, Sri Lanka,KKR,KKR,KKR,X,X,PWI,X,X,X,X,X,X
Ajit Agarkar, India,KKR,KKR,KKR,DD,DD,DD,X,X,X,X,X,X
Ashok Dinda, India,KKR,KKR,KKR,DD,PWI,PWI,RCB,RCB,RPS,RPS,X,X
Brad Hodge, Australia,KKR,KKR,KKR,KTK,RR,RR,RR,X,X,X,X,X
Brendon McCullum, New Zealand,KKR,KKR,KKR,KTK,KKR,KKR,CSK,CSK,GL,GL,RCB,X
Cheteshwar Pujara, India,KKR,KKR,KKR,RCB,RCB,RCB,KXIP,X,X,X,X,X
Chris Gayle, Jamaica,KKR,KKR,KKR,RCB,RCB,RCB,RCB,RCB,RCB,RCB,KXIP,KXIP
David Hussey, Australia,KKR,KKR,KKR,KXIP,KXIP,KXIP,CSK,X,X,X,X,X
Debabrata Das, India,KKR,X,X,X,KKR,KKR,KKR,X,X,X,X,X
Iqbal Abdulla, India,KKR,KKR,KKR,KKR,KKR,KKR,RR,RCB,RCB,RCB,X,X
Ishant Sharma, India,KKR,KKR,KKR,DC,DC,SRH,SRH,SRH,RPS,KXIP,X,DD
Laxmi Ratan Shukla, India,KKR,KKR,KKR,KKR,KKR,KKR,DD,SRH,X,X,X,X
